region,bin_source,sigma_switch_threshold,P_left,P_right,P_med,sigma_local,n,base_bin_count,bin_width,min_bin_samples,line,line_name,scheme,power_col_for_prediction,power_threshold_axis,power_switch_threshold,fan_threshold_b
high,high_fit_bins,0.0,0.0,10.0,4.416854,0.685972739447832,22163,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,10.0,20.0,14.813013,0.5779818707016421,17088,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,20.0,30.0,24.772356,0.6066848672735535,16117,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,30.0,40.0,34.9000035,0.6804538402185788,13120,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,40.0,50.0,45.136692,0.8176152910764811,13141,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,50.0,60.0,54.562343,0.9433450219268856,11332,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,60.0,70.0,64.70227,1.1240962329896191,9398,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,70.0,80.0,74.97634,1.2489120937451919,7933,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,80.0,90.0,84.880455,1.4022678540510685,7435,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,90.0,100.0,94.80722499999999,1.5461353492666645,6552,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,100.0,110.0,104.90484,1.731345821318841,6323,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,110.0,120.0,114.57157799999999,1.783745783841657,5782,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,120.0,130.0,124.906175,1.9052813353524087,4998,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,130.0,140.0,134.84695,2.073536073246302,4645,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,140.0,150.0,144.97672,2.3082544770304523,4119,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,150.0,160.0,155.10408999999999,2.3840336641523336,3850,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,160.0,170.0,165.08552,2.409517208259309,3956,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,170.0,180.0,174.594105,2.537749645126205,3876,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,180.0,190.0,184.956635,2.7077614020500373,3376,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,190.0,200.0,195.21486,2.7078973042953542,3053,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,200.0,210.0,204.90857,2.798889249588364,3267,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,210.0,220.0,214.96214,2.8691943075880526,3201,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,220.0,230.0,225.094025,2.9180817177848932,3302,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,230.0,240.0,234.69025,2.9320379203603593,2893,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,240.0,250.0,245.422965,2.9093746963637033,2796,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,250.0,260.0,255.50119,2.1516232333185115,4521,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,260.0,270.0,264.99896,1.9951885108744254,4673,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,270.0,280.0,274.90826500000003,2.045859222149817,3120,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,280.0,290.0,283.48762,1.405599992696363,3158,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
high,high_fit_bins,0.0,290.0,300.0,293.56802,1.1580062568302756,611,1,10.0,20,BING,丙（BING）,A,CT_eff,CT_eff,,10.0
low,low_lookup,10.0,0.0,0.5,0.286225825,0.46923459857590094,560,1,0.5,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
high,high_fit_bins,10.0,0.0,10.0,9.011436,0.6441138405921284,22163,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
low,low_lookup,10.0,0.5,1.0,0.69125053,0.4989800062837111,1128,1,0.5,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
low,low_lookup,10.0,1.0,1.5,1.2703653,0.4988508381580283,1406,1,0.5,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
low,low_lookup,10.0,1.5,2.0,1.7418356,0.7763160853098918,1639,1,0.5,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
low,low_lookup,10.0,2.0,2.5,2.2477193,0.7907949683812624,1515,1,0.5,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
low,low_lookup,10.0,2.5,3.0,2.74213325,0.6590552132894775,1366,1,0.5,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
low,low_lookup,10.0,3.0,3.5,3.2427397,0.6913981981871561,1275,1,0.5,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
low,low_lookup,10.0,3.5,4.0,3.7482,0.5638709923264382,1189,1,0.5,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
low,low_lookup,10.0,4.0,4.5,4.2529698499999995,0.6515864887558611,1205,1,0.5,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
low,low_lookup,10.0,4.5,5.0,4.74717525,0.5474559416050578,1167,1,0.5,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
low,low_lookup,10.0,5.0,5.5,5.236549,0.637464804051103,1126,1,0.5,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
low,low_lookup,10.0,5.5,6.0,5.74803305,0.557052828018439,999,1,0.5,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
low,low_lookup,10.0,6.0,6.5,6.2584233000000005,0.5692401873478815,1021,1,0.5,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
low,low_lookup,10.0,6.5,7.0,6.7577796,0.691516094562633,978,1,0.5,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
low,low_lookup,10.0,7.0,7.5,7.2272555999999994,0.6504022508528107,964,1,0.5,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
low,low_lookup,10.0,7.5,8.0,7.7324166,0.5588463154161375,911,1,0.5,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
low,low_lookup,10.0,8.0,8.5,8.1897615,0.5583459802033036,888,1,0.5,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
low,low_lookup,10.0,8.5,10.0,8.607636,0.678905971787783,2826,3,0.5,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
high,high_fit_bins,10.0,10.0,20.0,14.813013,0.5772193913750125,17088,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
high,high_fit_bins,10.0,20.0,30.0,24.772356,0.6066848672735535,16117,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
high,high_fit_bins,10.0,30.0,40.0,34.9000035,0.6804538402185788,13120,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
high,high_fit_bins,10.0,40.0,50.0,45.136692,0.8176152910764811,13141,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
high,high_fit_bins,10.0,50.0,60.0,54.562343,0.9433450219268856,11332,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
high,high_fit_bins,10.0,60.0,70.0,64.70227,1.1240962329896191,9398,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
high,high_fit_bins,10.0,70.0,80.0,74.97634,1.2489120937451919,7933,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
high,high_fit_bins,10.0,80.0,90.0,84.880455,1.4022678540510685,7435,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
high,high_fit_bins,10.0,90.0,100.0,94.80722499999999,1.5461353492666645,6552,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
high,high_fit_bins,10.0,100.0,110.0,104.90484,1.731345821318841,6323,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
high,high_fit_bins,10.0,110.0,120.0,114.57157799999999,1.783745783841657,5782,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
high,high_fit_bins,10.0,120.0,130.0,124.906175,1.9052813353524087,4998,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
high,high_fit_bins,10.0,130.0,140.0,134.84695,2.073536073246302,4645,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
high,high_fit_bins,10.0,140.0,150.0,144.97672,2.3082544770304523,4119,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
high,high_fit_bins,10.0,150.0,160.0,155.10408999999999,2.3840336641523336,3850,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
high,high_fit_bins,10.0,160.0,170.0,165.08552,2.409517208259309,3956,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
high,high_fit_bins,10.0,170.0,180.0,174.594105,2.537749645126205,3876,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
high,high_fit_bins,10.0,180.0,190.0,184.956635,2.7077614020500373,3376,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
high,high_fit_bins,10.0,190.0,200.0,195.21486,2.7078973042953542,3053,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
high,high_fit_bins,10.0,200.0,210.0,204.90857,2.798889249588364,3267,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
high,high_fit_bins,10.0,210.0,220.0,214.96214,2.8691943075880526,3201,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
high,high_fit_bins,10.0,220.0,230.0,225.094025,2.9180817177848932,3302,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
high,high_fit_bins,10.0,230.0,240.0,234.69025,2.9320379203603593,2893,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
high,high_fit_bins,10.0,240.0,250.0,245.422965,2.9093746963637033,2796,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
high,high_fit_bins,10.0,250.0,260.0,255.50119,2.1516232333185115,4521,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
high,high_fit_bins,10.0,260.0,270.0,264.99896,1.9951885108744254,4673,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
high,high_fit_bins,10.0,270.0,280.0,274.90826500000003,2.045859222149817,3120,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
high,high_fit_bins,10.0,280.0,290.0,283.48762,1.405599992696363,3158,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
high,high_fit_bins,10.0,290.0,300.0,293.56802,1.1580062568302756,611,1,10.0,20,BING,丙（BING）,AP,CT_eff,CT_eff,10.0,10.0
low,low_lookup,10.0,0.0,0.5,0.14,0.048524117305796546,8326,1,0.5,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
low,low_lookup,10.0,0.5,1.0,0.72719,0.0,3344,1,0.5,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
low,low_lookup,10.0,1.0,1.5,1.2483499999999998,0.0,2864,1,0.5,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
low,low_lookup,10.0,1.5,2.0,1.751,0.005007736509203086,2653,1,0.5,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
low,low_lookup,10.0,2.0,2.5,2.24273,0.036921480718645996,2437,1,0.5,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
low,low_lookup,10.0,2.5,3.0,2.74295,0.15805698792624828,2251,1,0.5,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
low,low_lookup,10.0,3.0,3.5,3.24987,0.4358092450197399,2147,1,0.5,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
low,low_lookup,10.0,3.5,4.0,3.754225,0.6481755135875334,2046,1,0.5,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
low,low_lookup,10.0,4.0,4.5,4.240240000000001,0.6428717429166099,1969,1,0.5,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
low,low_lookup,10.0,4.5,5.0,4.743170000000001,0.6062672239416693,1866,1,0.5,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
low,low_lookup,10.0,5.0,5.5,5.244509999999999,0.5972347712807781,1729,1,0.5,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
low,low_lookup,10.0,5.5,6.0,5.728800000000001,0.6290646396829996,1428,1,0.5,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
low,low_lookup,10.0,6.0,6.5,6.249179999999999,0.6350892028481605,1365,1,0.5,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
low,low_lookup,10.0,6.5,7.0,6.75768,0.598265901135196,1291,1,0.5,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
low,low_lookup,10.0,7.0,7.5,7.252834999999999,0.6310125149565964,1264,1,0.5,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
low,low_lookup,10.0,7.5,8.0,7.74446,0.6349410315082192,1179,1,0.5,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
low,low_lookup,10.0,8.0,8.5,8.24496,0.6068559832269496,1121,1,0.5,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
low,low_lookup,10.0,8.5,9.0,8.738255000000002,0.6072605834941056,1052,1,0.5,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
low,low_lookup,10.0,9.0,9.5,9.254729999999999,0.6152737312289884,1026,1,0.5,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
low,low_lookup,10.0,9.5,10.0,9.741559999999998,0.6161191752976332,963,1,0.5,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
high,high_fit_bins,10.0,10.0,20.0,14.646365,0.6971759771825253,17904,1,10.0,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
high,high_fit_bins,10.0,20.0,30.0,24.890059999999995,0.5891190916264315,16411,1,10.0,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
high,high_fit_bins,10.0,30.0,40.0,34.84823,0.6631870951838428,13136,1,10.0,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
high,high_fit_bins,10.0,40.0,50.0,45.03726,0.7513692042330836,12911,1,10.0,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
high,high_fit_bins,10.0,50.0,60.0,54.598299999999995,0.8967730774940287,11832,1,10.0,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
high,high_fit_bins,10.0,60.0,70.0,64.8697799,1.025152080829699,9596,1,10.0,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
high,high_fit_bins,10.0,70.0,80.0,74.910355,1.1636154745725693,7886,1,10.0,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
high,high_fit_bins,10.0,80.0,90.0,84.79436,1.3332593470549998,7519,1,10.0,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
high,high_fit_bins,10.0,90.0,100.0,94.84274500000001,1.468895105341341,6604,1,10.0,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
high,high_fit_bins,10.0,100.0,110.0,104.99584000000002,1.5772380935139432,6181,1,10.0,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
high,high_fit_bins,10.0,110.0,120.0,114.87371010000004,1.7376754926699487,6000,1,10.0,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
high,high_fit_bins,10.0,120.0,130.0,125.04027999999998,1.816938928884998,5030,1,10.0,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
high,high_fit_bins,10.0,130.0,140.0,135.10742495,1.9120769710574201,4634,1,10.0,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
high,high_fit_bins,10.0,140.0,150.0,144.90248000000003,2.1392744889583075,4144,1,10.0,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
high,high_fit_bins,10.0,150.0,160.0,154.72227,2.288339052621945,3812,1,10.0,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
high,high_fit_bins,10.0,160.0,170.0,165.08511499999997,2.3391547286596714,3798,1,10.0,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
high,high_fit_bins,10.0,170.0,180.0,175.1771845,2.357813560231923,4034,1,10.0,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
high,high_fit_bins,10.0,180.0,190.0,185.10913,2.578102020401503,3393,1,10.0,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
high,high_fit_bins,10.0,190.0,200.0,194.67212484999996,2.6298149825424204,3054,1,10.0,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
high,high_fit_bins,10.0,200.0,210.0,205.12598,2.662511077853462,3121,1,10.0,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
high,high_fit_bins,10.0,210.0,220.0,214.983785,2.695556774414498,3128,1,10.0,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
high,high_fit_bins,10.0,220.0,230.0,225.24881489999996,2.8235637043759536,3086,1,10.0,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
high,high_fit_bins,10.0,230.0,240.0,234.85905499999996,2.798235871511124,3122,1,10.0,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
high,high_fit_bins,10.0,240.0,250.0,244.84266000000002,2.8353801843427937,2660,1,10.0,20,BING,丙（BING）,B,FAN_eff,FAN_eff,10.0,10.0
